2020-02-12 22:35:58,062-DEBUG-my_logger.py-web_auto-日志信息:testing....
2020-02-12 22:36:52,820-DEBUG-my_logger.py-web_auto-日志信息:testing....
2020-02-12 22:36:52,820-ERROR-my_logger.py-web_auto-日志信息:erroring...
2020-02-17 09:28:27,301-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-17 09:28:27,301-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-17 09:28:27,591-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-17 09:28:27,609-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-17 09:28:27,610-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-17 09:28:27,679-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入111111
2020-02-17 09:28:27,679-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-17 09:28:27,725-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:27,726-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:27,767-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//div[@class="error-message"]')元素可见
2020-02-17 09:28:28,841-INFO-my_logger.py-web_auto-日志信息:获取元素('xpath', '//div[@class="error-message"]')的文本内容
2020-02-17 09:28:28,842-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//div[@class="error-message"]')
2020-02-17 09:28:29,196-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//input[@id="username"]')元素可见
2020-02-17 09:28:29,218-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="username"]')输入16602159899
2020-02-17 09:28:29,219-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="username"]')
2020-02-17 09:28:29,284-INFO-my_logger.py-web_auto-日志信息:元素('xpath', '//input[@id="password"]')输入Zyj888888
2020-02-17 09:28:29,285-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@id="password"]')
2020-02-17 09:28:29,331-INFO-my_logger.py-web_auto-日志信息:点击元素('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:29,331-INFO-my_logger.py-web_auto-日志信息:查找元素：('xpath', '//input[@class="submit hand"]')
2020-02-17 09:28:29,370-INFO-my_logger.py-web_auto-日志信息:等待('xpath', '//a[@id="logout"]')元素可见
